id,atlas_id,name,acronym,st_level,parent_structure_id,depth,graph_order,structure_id_path,color_hex_triplet,sphinx_id
1085,1125,"Secondary motor area, layer 6b",MOs6b,11,993,8,29,/997/8/567/688/695/315/500/993/1085/,1F9D5A,30
453,339,Somatosensory areas,SS,6,315,6,30,/997/8/567/688/695/315/453/,188064,31
12993,,"Somatosensory areas, layer 1",SS1,11,453,7,31,/997/8/567/688/695/315/453/12993/,188064,32
12994,,"Somatosensory areas, layer 2/3",SS2/3,11,453,7,32,/997/8/567/688/695/315/453/12994/,188064,33
12995,,"Somatosensory areas, layer 4",SS4,11,453,7,33,/997/8/567/688/695/315/453/12995/,188064,34
12996,,"Somatosensory areas, layer 5",SS5,11,453,7,34,/997/8/567/688/695/315/453/12996/,188064,35
12997,,"Somatosensory areas, layer 6a",SS6a,11,453,7,35,/997/8/567/688/695/315/453/12997/,188064,36
12998,,"Somatosensory areas, layer 6b",SS6b,11,453,7,36,/997/8/567/688/695/315/453/12998/,188064,37
322,747,Primary somatosensory area,SSp,8,453,7,37,/997/8/567/688/695/315/453/322/,188064,38
793,1089,"Primary somatosensory area, layer 1",SSp1,11,322,8,38,/997/8/567/688/695/315/453/322/793/,188064,39
346,1033,"Primary somatosensory area, layer 2/3",SSp2/3,11,322,8,39,/997/8/567/688/695/315/453/322/346/,188064,40
865,1098,"Primary somatosensory area, layer 4",SSp4,11,322,8,40,/997/8/567/688/695/315/453/322/865/,188064,41
921,1105,"Primary somatosensory area, layer 5",SSp5,11,322,8,41,/997/8/567/688/695/315/453/322/921/,188064,42
686,934,"Primary somatosensory area, layer 6a",SSp6a,11,322,8,42,/997/8/567/688/695/315/453/322/686/,188064,43
719,938,"Primary somatosensory area, layer 6b",SSp6b,11,322,8,43,/997/8/567/688/695/315/453/322/719/,188064,44
353,751,"Primary somatosensory area, nose",SSp-n,9,322,8,44,/997/8/567/688/695/315/453/322/353/,188064,45
558,635,"Primary somatosensory area, nose, layer 1",SSp-n1,11,353,9,45,/997/8/567/688/695/315/453/322/353/558/,188064,46
838,953,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,11,353,9,46,/997/8/567/688/695/315/453/322/353/838/,188064,47
654,647,"Primary somatosensory area, nose, layer 4",SSp-n4,11,353,9,47,/997/8/567/688/695/315/453/322/353/654/,188064,48
702,653,"Primary somatosensory area, nose, layer 5",SSp-n5,11,353,9,48,/997/8/567/688/695/315/453/322/353/702/,188064,49
889,1101,"Primary somatosensory area, nose, layer 6a",SSp-n6a,11,353,9,49,/997/8/567/688/695/315/453/322/353/889/,188064,50
929,1106,"Primary somatosensory area, nose, layer 6b",SSp-n6b,11,353,9,50,/997/8/567/688/695/315/453/322/353/929/,188064,51
329,748,"Primary somatosensory area, barrel field",SSp-bfd,9,322,8,51,/997/8/567/688/695/315/453/322/329/,188064,52
981,971,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,11,329,9,52,/997/8/567/688/695/315/453/322/329/981/,188064,53
201,1015,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,11,329,9,53,/997/8/567/688/695/315/453/322/329/201/,188064,54
1047,979,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,11,329,9,54,/997/8/567/688/695/315/453/322/329/1047/,188064,55
1070,982,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,11,329,9,55,/997/8/567/688/695/315/453/322/329/1070/,188064,56
1038,978,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,11,329,9,56,/997/8/567/688/695/315/453/322/329/1038/,188064,57
1062,981,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,11,329,9,57,/997/8/567/688/695/315/453/322/329/1062/,188064,58
480149202,,Rostrolateral lateral visual area,VISrll,10,329,9,58,/997/8/567/688/695/315/453/322/329/480149202/,188064,59
480149206,,"Rostrolateral lateral visual area, layer 1",VISrll1,11,480149202,10,59,/997/8/567/688/695/315/453/322/329/480149202/480149206/,188064,60
480149210,,"Rostrolateral lateral visual area, layer 2/3",VISrll2/3,11,480149202,10,60,/997/8/567/688/695/315/453/322/329/480149202/480149210/,188064,61
480149214,,"Rostrolateral lateral visual area, layer 4",VISrll4,11,480149202,10,61,/997/8/567/688/695/315/453/322/329/480149202/480149214/,188064,62
480149218,,"Rostrolateral lateral visual area,layer 5",VISrll5,11,480149202,10,62,/997/8/567/688/695/315/453/322/329/480149202/480149218/,188064,63
480149222,,"Rostrolateral lateral visual area, layer 6a",VISrll6a,11,480149202,10,63,/997/8/567/688/695/315/453/322/329/480149202/480149222/,188064,64
480149226,,"Rostrolateral lateral visual area, layer 6b",VISrll6b,11,480149202,10,64,/997/8/567/688/695/315/453/322/329/480149202/480149226/,188064,65
337,749,"Primary somatosensory area, lower limb",SSp-ll,9,322,8,65,/997/8/567/688/695/315/453/322/337/,188064,66
1030,977,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,11,337,9,66,/997/8/567/688/695/315/453/322/337/1030/,188064,67
113,1004,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,11,337,9,67,/997/8/567/688/695/315/453/322/337/113/,188064,68
1094,985,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,11,337,9,68,/997/8/567/688/695/315/453/322/337/1094/,188064,69
1128,989,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,11,337,9,69,/997/8/567/688/695/315/453/322/337/1128/,188064,70
478,625,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,11,337,9,70,/997/8/567/688/695/315/453/322/337/478/,188064,71
510,629,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,11,337,9,71,/997/8/567/688/695/315/453/322/337/510/,188064,72
345,750,"Primary somatosensory area, mouth",SSp-m,9,322,8,72,/997/8/567/688/695/315/453/322/345/,188064,73
878,958,"Primary somatosensory area, mouth, layer 1",SSp-m1,11,345,9,73,/997/8/567/688/695/315/453/322/345/878/,188064,74
657,1072,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,11,345,9,74,/997/8/567/688/695/315/453/322/345/657/,188064,75
950,967,"Primary somatosensory area, mouth, layer 4",SSp-m4,11,345,9,75,/997/8/567/688/695/315/453/322/345/950/,188064,76
974,970,"Primary somatosensory area, mouth, layer 5",SSp-m5,11,345,9,76,/997/8/567/688/695/315/453/322/345/974/,188064,77
1102,986,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,11,345,9,77,/997/8/567/688/695/315/453/322/345/1102/,188064,78
2,990,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,11,345,9,78,/997/8/567/688/695/315/453/322/345/2/,188064,79
369,753,"Primary somatosensory area, upper limb",SSp-ul,9,322,8,79,/997/8/567/688/695/315/453/322/369/,188064,80
450,1046,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,11,369,9,80,/997/8/567/688/695/315/453/322/369/450/,188064,81
854,955,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,11,369,9,81,/997/8/567/688/695/315/453/322/369/854/,188064,82
577,1062,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,11,369,9,82,/997/8/567/688/695/315/453/322/369/577/,188064,83
625,1068,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,11,369,9,83,/997/8/567/688/695/315/453/322/369/625/,188064,84
945,1108,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,11,369,9,84,/997/8/567/688/695/315/453/322/369/945/,188064,85
1026,1118,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,11,369,9,85,/997/8/567/688/695/315/453/322/369/1026/,188064,86
361,752,"Primary somatosensory area, trunk",SSp-tr,9,322,8,86,/997/8/567/688/695/315/453/322/361/,188064,87
1006,974,"Primary somatosensory area, trunk, layer 1",SSp-tr1,11,361,9,87,/997/8/567/688/695/315/453/322/361/1006/,188064,88
670,649,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,11,361,9,88,/997/8/567/688/695/315/453/322/361/670/,188064,89
1086,984,"Primary somatosensory area, trunk, layer 4",SSp-tr4,11,361,9,89,/997/8/567/688/695/315/453/322/361/1086/,188064,90
1111,987,"Primary somatosensory area, trunk, layer 5",SSp-tr5,11,361,9,90,/997/8/567/688/695/315/453/322/361/1111/,188064,91
9,991,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,11,361,9,91,/997/8/567/688/695/315/453/322/361/9/,188064,92
461,623,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,11,361,9,92,/997/8/567/688/695/315/453/322/361/461/,188064,93
182305689,,"Primary somatosensory area, unassigned",SSp-un,9,322,8,93,/997/8/567/688/695/315/453/322/182305689/,188064,94
182305693,,"Primary somatosensory area, unassigned, layer 1",SSp-un1,11,182305689,9,94,/997/8/567/688/695/315/453/322/182305689/182305693/,188064,95
182305697,,"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,11,182305689,9,95,/997/8/567/688/695/315/453/322/182305689/182305697/,188064,96
182305701,,"Primary somatosensory area, unassigned, layer 4",SSp-un4,11,182305689,9,96,/997/8/567/688/695/315/453/322/182305689/182305701/,188064,97
182305705,,"Primary somatosensory area, unassigned, layer 5",SSp-un5,11,182305689,9,97,/997/8/567/688/695/315/453/322/182305689/182305705/,188064,98
182305709,,"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,11,182305689,9,98,/997/8/567/688/695/315/453/322/182305689/182305709/,188064,99
182305713,,"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,11,182305689,9,99,/997/8/567/688/695/315/453/322/182305689/182305713/,188064,100
378,754,Supplemental somatosensory area,SSs,8,453,7,100,/997/8/567/688/695/315/453/378/,188064,101
873,1099,"Supplemental somatosensory area, layer 1",SSs1,11,378,8,101,/997/8/567/688/695/315/453/378/873/,188064,102
806,949,"Supplemental somatosensory area, layer 2/3",SSs2/3,11,378,8,102,/997/8/567/688/695/315/453/378/806/,188064,103
1035,1119,"Supplemental somatosensory area, layer 4",SSs4,11,378,8,103,/997/8/567/688/695/315/453/378/1035/,188064,104
1090,1126,"Supplemental somatosensory area, layer 5",SSs5,11,378,8,104,/997/8/567/688/695/315/453/378/1090/,188064,105
862,956,"Supplemental somatosensory area, layer 6a",SSs6a,11,378,8,105,/997/8/567/688/695/315/453/378/862/,188064,106
893,960,"Supplemental somatosensory area, layer 6b",SSs6b,11,378,8,106,/997/8/567/688/695/315/453/378/893/,188064,107
1057,131,Gustatory areas,GU,6,315,6,107,/997/8/567/688/695/315/1057/,009C75,108
36,994,"Gustatory areas, layer 1",GU1,11,1057,7,108,/997/8/567/688/695/315/1057/36/,009C75,109
180,729,"Gustatory areas, layer 2/3",GU2/3,11,1057,7,109,/997/8/567/688/695/315/1057/180/,009C75,110
148,1008,"Gustatory areas, layer 4",GU4,11,1057,7,110,/997/8/567/688/695/315/1057/148/,009C75,111
187,1013,"Gustatory areas, layer 5",GU5,11,1057,7,111,/997/8/567/688/695/315/1057/187/,009C75,112
638,645,"Gustatory areas, layer 6a",GU6a,11,1057,7,112,/997/8/567/688/695/315/1057/638/,009C75,113
662,648,"Gustatory areas, layer 6b",GU6b,11,1057,7,113,/997/8/567/688/695/315/1057/662/,009C75,114
677,367,Visceral area,VISC,8,315,6,114,/997/8/567/688/695/315/677/,11AD83,115
897,1102,"Visceral area, layer 1",VISC1,11,677,7,115,/997/8/567/688/695/315/677/897/,11AD83,116
1106,1128,"Visceral area, layer 2/3",VISC2/3,11,677,7,116,/997/8/567/688/695/315/677/1106/,11AD83,117
1010,1116,"Visceral area, layer 4",VISC4,11,677,7,117,/997/8/567/688/695/315/677/1010/,11AD83,118
1058,1122,"Visceral area, layer 5",VISC5,11,677,7,118,/997/8/567/688/695/315/677/1058/,11AD83,119
857,1097,"Visceral area, layer 6a",VISC6a,11,677,7,119,/997/8/567/688/695/315/677/857/,11AD83,120
849,1096,"Visceral area, layer 6b",VISC6b,11,677,7,120,/997/8/567/688/695/315/677/849/,11AD83,121
247,30,Auditory areas,AUD,6,315,6,121,/997/8/567/688/695/315/247/,19399,122
1011,833,Dorsal auditory area,AUDd,8,247,7,122,/997/8/567/688/695/315/247/1011/,19399,123
527,631,"Dorsal auditory area, layer 1",AUDd1,11,1011,8,123,/997/8/567/688/695/315/247/1011/527/,19399,124
600,923,"Dorsal auditory area, layer 2/3",AUDd2/3,11,1011,8,124,/997/8/567/688/695/315/247/1011/600/,19399,125
678,650,"Dorsal auditory area, layer 4",AUDd4,11,1011,8,125,/997/8/567/688/695/315/247/1011/678/,19399,126
252,738,"Dorsal auditory area, layer 5",AUDd5,11,1011,8,126,/997/8/567/688/695/315/247/1011/252/,19399,127
156,1009,"Dorsal auditory area, layer 6a",AUDd6a,11,1011,8,127,/997/8/567/688/695/315/247/1011/156/,19399,128
243,1020,"Dorsal auditory area, layer 6b",AUDd6b,11,1011,8,128,/997/8/567/688/695/315/247/1011/243/,19399,129
480149230,,Laterolateral anterior visual area,VISlla,10,1011,8,129,/997/8/567/688/695/315/247/1011/480149230/,19399,130
480149234,,"Laterolateral anterior visual area, layer 1",VISlla1,11,480149230,9,130,/997/8/567/688/695/315/247/1011/480149230/480149234/,19399,131
480149238,,"Laterolateral anterior visual area, layer 2/3",VISlla2/3,11,480149230,9,131,/997/8/567/688/695/315/247/1011/480149230/480149238/,19399,132
480149242,,"Laterolateral anterior visual area, layer 4",VISlla4,11,480149230,9,132,/997/8/567/688/695/315/247/1011/480149230/480149242/,19399,133
480149246,,"Laterolateral anterior visual area,layer 5",VISlla5,11,480149230,9,133,/997/8/567/688/695/315/247/1011/480149230/480149246/,19399,134
480149250,,"Laterolateral anterior visual area, layer 6a",VISlla6a,11,480149230,9,134,/997/8/567/688/695/315/247/1011/480149230/480149250/,19399,135
480149254,,"Laterolateral anterior visual area, layer 6b",VISlla6b,11,480149230,9,135,/997/8/567/688/695/315/247/1011/480149230/480149254/,19399,136
1002,832,Primary auditory area,AUDp,8,247,7,136,/997/8/567/688/695/315/247/1002/,19399,137
735,940,"Primary auditory area, layer 1",AUDp1,11,1002,8,137,/997/8/567/688/695/315/247/1002/735/,19399,138
251,1021,"Primary auditory area, layer 2/3",AUDp2/3,11,1002,8,138,/997/8/567/688/695/315/247/1002/251/,19399,139
816,950,"Primary auditory area, layer 4",AUDp4,11,1002,8,139,/997/8/567/688/695/315/247/1002/816/,19399,140
847,954,"Primary auditory area, layer 5",AUDp5,11,1002,8,140,/997/8/567/688/695/315/247/1002/847/,19399,141
954,1109,"Primary auditory area, layer 6a",AUDp6a,11,1002,8,141,/997/8/567/688/695/315/247/1002/954/,19399,142
1005,1115,"Primary auditory area, layer 6b",AUDp6b,11,1002,8,142,/997/8/567/688/695/315/247/1002/1005/,19399,143
1027,835,Posterior auditory area,AUDpo,8,247,7,143,/997/8/567/688/695/315/247/1027/,19399,144
696,935,"Posterior auditory area, layer 1",AUDpo1,11,1027,8,144,/997/8/567/688/695/315/247/1027/696/,19399,145
643,1070,"Posterior auditory area, layer 2/3",AUDpo2/3,11,1027,8,145,/997/8/567/688/695/315/247/1027/643/,19399,146
759,943,"Posterior auditory area, layer 4",AUDpo4,11,1027,8,146,/997/8/567/688/695/315/247/1027/759/,19399,147
791,947,"Posterior auditory area, layer 5",AUDpo5,11,1027,8,147,/997/8/567/688/695/315/247/1027/791/,19399,148
249,455,"Posterior auditory area, layer 6a",AUDpo6a,11,1027,8,148,/997/8/567/688/695/315/247/1027/249/,19399,149
456,622,"Posterior auditory area, layer 6b",AUDpo6b,11,1027,8,149,/997/8/567/688/695/315/247/1027/456/,19399,150
1018,834,Ventral auditory area,AUDv,8,247,7,150,/997/8/567/688/695/315/247/1018/,19399,151
959,968,"Ventral auditory area, layer 1",AUDv1,11,1018,8,151,/997/8/567/688/695/315/247/1018/959/,19399,152
755,1084,"Ventral auditory area, layer 2/3",AUDv2/3,11,1018,8,152,/997/8/567/688/695/315/247/1018/755/,19399,153
990,972,"Ventral auditory area, layer 4",AUDv4,11,1018,8,153,/997/8/567/688/695/315/247/1018/990/,19399,154
1023,976,"Ventral auditory area, layer 5",AUDv5,11,1018,8,154,/997/8/567/688/695/315/247/1018/1023/,19399,155
520,630,"Ventral auditory area, layer 6a",AUDv6a,11,1018,8,155,/997/8/567/688/695/315/247/1018/520/,19399,156
598,640,"Ventral auditory area, layer 6b",AUDv6b,11,1018,8,156,/997/8/567/688/695/315/247/1018/598/,19399,157
669,366,Visual areas,VIS,6,315,6,157,/997/8/567/688/695/315/669/,08858C,158
801,1090,"Visual areas, layer 1",VIS1,11,669,7,158,/997/8/567/688/695/315/669/801/,08858C,159
561,1060,"Visual areas, layer 2/3",VIS2/3,11,669,7,159,/997/8/567/688/695/315/669/561/,08858C,160
913,1104,"Visual areas, layer 4",VIS4,11,669,7,160,/997/8/567/688/695/315/669/913/,08858C,161
937,1107,"Visual areas, layer 5",VIS5,11,669,7,161,/997/8/567/688/695/315/669/937/,08858C,162
457,1047,"Visual areas, layer 6a",VIS6a,11,669,7,162,/997/8/567/688/695/315/669/457/,08858C,163
497,1052,"Visual areas, layer 6b",VIS6b,11,669,7,163,/997/8/567/688/695/315/669/497/,08858C,164
402,757,Anterolateral visual area,VISal,8,669,7,164,/997/8/567/688/695/315/669/402/,08858C,165
1074,1124,"Anterolateral visual area, layer 1",VISal1,11,402,8,165,/997/8/567/688/695/315/669/402/1074/,08858C,166
905,1103,"Anterolateral visual area, layer 2/3",VISal2/3,11,402,8,166,/997/8/567/688/695/315/669/402/905/,08858C,167
1114,1129,"Anterolateral visual area, layer 4",VISal4,11,402,8,167,/997/8/567/688/695/315/669/402/1114/,08858C,168
233,453,"Anterolateral visual area, layer 5",VISal5,11,402,8,168,/997/8/567/688/695/315/669/402/233/,08858C,169
601,1065,"Anterolateral visual area, layer 6a",VISal6a,11,402,8,169,/997/8/567/688/695/315/669/402/601/,08858C,170
649,1071,"Anterolateral visual area, layer 6b",VISal6b,11,402,8,170,/997/8/567/688/695/315/669/402/649/,08858C,171
394,756,Anteromedial visual area,VISam,8,669,7,171,/997/8/567/688/695/315/669/394/,08858C,172
281,1025,"Anteromedial visual area, layer 1",VISam1,11,394,8,172,/997/8/567/688/695/315/669/394/281/,08858C,173
1066,1123,"Anteromedial visual area, layer 2/3",VISam2/3,11,394,8,173,/997/8/567/688/695/315/669/394/1066/,08858C,174
401,1040,"Anteromedial visual area, layer 4",VISam4,11,394,8,174,/997/8/567/688/695/315/669/394/401/,08858C,175
433,1044,"Anteromedial visual area, layer 5",VISam5,11,394,8,175,/997/8/567/688/695/315/669/394/433/,08858C,176
1046,696,"Anteromedial visual area, layer 6a",VISam6a,11,394,8,176,/997/8/567/688/695/315/669/394/1046/,08858C,177
441,762,"Anteromedial visual area, layer 6b",VISam6b,11,394,8,177,/997/8/567/688/695/315/669/394/441/,08858C,178
409,758,Lateral visual area,VISl,8,669,7,178,/997/8/567/688/695/315/669/409/,08858C,179
421,618,"Lateral visual area, layer 1",VISl1,11,409,8,179,/997/8/567/688/695/315/669/409/421/,08858C,180
973,687,"Lateral visual area, layer 2/3",VISl2/3,11,409,8,180,/997/8/567/688/695/315/669/409/973/,08858C,181
573,637,"Lateral visual area, layer 4",VISl4,11,409,8,181,/997/8/567/688/695/315/669/409/573/,08858C,182
613,642,"Lateral visual area, layer 5",VISl5,11,409,8,182,/997/8/567/688/695/315/669/409/613/,08858C,183
74,999,"Lateral visual area, layer 6a",VISl6a,11,409,8,183,/997/8/567/688/695/315/669/409/74/,08858C,184
121,1005,"Lateral visual area, layer 6b",VISl6b,11,409,8,184,/997/8/567/688/695/315/669/409/121/,08858C,185
385,755,Primary visual area,VISp,8,669,7,185,/997/8/567/688/695/315/669/385/,08858C,186
593,1064,"Primary visual area, layer 1",VISp1,11,385,8,186,/997/8/567/688/695/315/669/385/593/,08858C,187
821,951,"Primary visual area, layer 2/3",VISp2/3,11,385,8,187,/997/8/567/688/695/315/669/385/821/,08858C,188
721,1080,"Primary visual area, layer 4",VISp4,11,385,8,188,/997/8/567/688/695/315/669/385/721/,08858C,189
778,1087,"Primary visual area, layer 5",VISp5,11,385,8,189,/997/8/567/688/695/315/669/385/778/,08858C,190
33,428,"Primary visual area, layer 6a",VISp6a,11,385,8,190,/997/8/567/688/695/315/669/385/33/,08858C,191
305,462,"Primary visual area, layer 6b",VISp6b,11,385,8,191,/997/8/567/688/695/315/669/385/305/,08858C,192
425,760,Posterolateral visual area,VISpl,8,669,7,192,/997/8/567/688/695/315/669/425/,08858C,193
750,942,"Posterolateral visual area, layer 1",VISpl1,11,425,8,193,/997/8/567/688/695/315/669/425/750/,08858C,194
269,882,"Posterolateral visual area, layer 2/3",VISpl2/3,11,425,8,194,/997/8/567/688/695/315/669/425/269/,08858C,195
869,957,"Posterolateral visual area, layer 4",VISpl4,11,425,8,195,/997/8/567/688/695/315/669/425/869/,08858C,196
902,961,"Posterolateral visual area, layer 5",VISpl5,11,425,8,196,/997/8/567/688/695/315/669/425/902/,08858C,197
377,1037,"Posterolateral visual area, layer 6a",VISpl6a,11,425,8,197,/997/8/567/688/695/315/669/425/377/,08858C,198
393,1039,"Posterolateral visual area, layer 6b",VISpl6b,11,425,8,198,/997/8/567/688/695/315/669/425/393/,08858C,199
533,915,posteromedial visual area,VISpm,8,669,7,199,/997/8/567/688/695/315/669/533/,08858C,200
805,383,"posteromedial visual area, layer 1",VISpm1,11,533,8,200,/997/8/567/688/695/315/669/533/805/,08858C,201
41,995,"posteromedial visual area, layer 2/3",VISpm2/3,11,533,8,201,/997/8/567/688/695/315/669/533/41/,08858C,202
501,628,"posteromedial visual area, layer 4",VISpm4,11,533,8,202,/997/8/567/688/695/315/669/533/501/,08858C,203
565,636,"posteromedial visual area, layer 5",VISpm5,11,533,8,203,/997/8/567/688/695/315/669/533/565/,08858C,204
257,456,"posteromedial visual area, layer 6a",VISpm6a,11,533,8,204,/997/8/567/688/695/315/669/533/257/,08858C,205
469,624,"posteromedial visual area, layer 6b",VISpm6b,11,533,8,205,/997/8/567/688/695/315/669/533/469/,08858C,206
312782574,,Laterointermediate area,VISli,8,669,7,206,/997/8/567/688/695/315/669/312782574/,08858C,207
312782578,,"Laterointermediate area, layer 1",VISli1,11,312782574,8,207,/997/8/567/688/695/315/669/312782574/312782578/,08858C,208
312782582,,"Laterointermediate area, layer 2/3",VISli2/3,11,312782574,8,208,/997/8/567/688/695/315/669/312782574/312782582/,08858C,209
312782586,,"Laterointermediate area, layer 4",VISli4,11,312782574,8,209,/997/8/567/688/695/315/669/312782574/312782586/,08858C,210
312782590,,"Laterointermediate area, layer 5",VISli5,11,312782574,8,210,/997/8/567/688/695/315/669/312782574/312782590/,08858C,211
312782594,,"Laterointermediate area, layer 6a",VISli6a,11,312782574,8,211,/997/8/567/688/695/315/669/312782574/312782594/,08858C,212
312782598,,"Laterointermediate area, layer 6b",VISli6b,11,312782574,8,212,/997/8/567/688/695/315/669/312782574/312782598/,08858C,213
312782628,,Postrhinal area,VISpor,8,669,7,213,/997/8/567/688/695/315/669/312782628/,08858C,214
312782632,,"Postrhinal area, layer 1",VISpor1,11,312782628,8,214,/997/8/567/688/695/315/669/312782628/312782632/,08858C,215
312782636,,"Postrhinal area, layer 2/3",VISpor2/3,11,312782628,8,215,/997/8/567/688/695/315/669/312782628/312782636/,08858C,216
312782640,,"Postrhinal area, layer 4",VISpor4,11,312782628,8,216,/997/8/567/688/695/315/669/312782628/312782640/,08858C,217
312782644,,"Postrhinal area, layer 5",VISpor5,11,312782628,8,217,/997/8/567/688/695/315/669/312782628/312782644/,08858C,218
312782648,,"Postrhinal area, layer 6a",VISpor6a,11,312782628,8,218,/997/8/567/688/695/315/669/312782628/312782648/,08858C,219
312782652,,"Postrhinal area, layer 6b",VISpor6b,11,312782628,8,219,/997/8/567/688/695/315/669/312782628/312782652/,08858C,220
31,3,Anterior cingulate area,ACA,8,315,6,220,/997/8/567/688/695/315/31/,40A666,221
572,1061,"Anterior cingulate area, layer 1",ACA1,11,31,7,221,/997/8/567/688/695/315/31/572/,40A666,222
1053,1121,"Anterior cingulate area, layer 2/3",ACA2/3,11,31,7,222,/997/8/567/688/695/315/31/1053/,40A666,223
739,1082,"Anterior cingulate area, layer 5",ACA5,11,31,7,223,/997/8/567/688/695/315/31/739/,40A666,224
179,1012,"Anterior cingulate area, layer 6a",ACA6a,11,31,7,224,/997/8/567/688/695/315/31/179/,40A666,225
227,1018,"Anterior cingulate area, layer 6b",ACA6b,11,31,7,225,/997/8/567/688/695/315/31/227/,40A666,226
